PI() pi
D40 D17
E50 D13
D10 travel_time
D11 travel_range
D12 battery_capacity
D13 speed_kn
D16 depth_pressure_pa
D17 depth_pressure_b
D18 pressure_conversion
D21 length_c
D22 radius_r
D23 radius_rb
D24 radius_difference
D25 sub_length
D26 CB
D29 surface_cylinder
D30 surface_sphere
D31 surface_total
D34 volume_cylinder
D35 volume_sphere
D36 volume_total
D37 istisnina
D40 Peq
D41 Di
D42 sigma
D43 k_weld
H50 kn2ms
E51 speed_ms
E52 Fn
E53 CF
E54 Rn
E55 ni
E56 CT
E58 k_hull
E59 Re
E60 Pe
E61 Pb1
E62 Pb
E63 MCR
F46 mass_steel
F39 thickness_hull
D3 row
D4 roc
D5 g
D8 max_depth
D9 passenger_count2
